"Autauga, AL",0.005154,0.590112,0.006083,0.004875,0.005634,0.004259,0.005067,0.010363,0.000989,0.0127,0.013842,0.028455,0.035019,0.007114,0.002266,0.006145,0.001527,0.001102,0.005056,0.002919,0.001948,0.001214,0.0031,0.000438,0.004946,0.26936,0.00194,0.003722,0.00673,0.00778,0.001927,0.288195,0.00608,0.004611,0.003013,0.004931,0.005337,0.276768,0.000279,0.006866,0.006282,0.005255,0.004773,0.004955,0.007022,0.005825,0.007389,0.006746,0.007193,0.006668,0.006147,0.007303,0.005132,0.005136,0.003582,0.001383,0.775858,0.007939,0.464807,0.180645,0.005558,0.255166,0.001321,0.00549,0.005624,0.015451,0.007488,0.002962,474
"Baldwin, AL",0.018265,0.655502,0.017441,0.014701,0.029348,0.007153,0.017577,0.053541,0.006707,0.04628,0.069848,0.036585,0.038911,0.041571,0.011549,0.03385,0.018024,0.006063,0.024502,0.024302,0.014482,0.010619,0.01469,0.00218,0.01668,0.299663,0.005118,0.006203,0.013533,0.017647,0.00251,0.294707,0.016618,0.008174,0.01173,0.019111,0.019739,0.369697,0.001705,0.023313,0.018581,0.018281,0.022117,0.026673,0.027225,0.025419,0.026747,0.028979,0.024236,0.02396,0.022951,0.021895,0.019953,0.01582,0.013033,0.011543,0.855427,0.019508,0.425893,0.214516,0.018563,0.28657,0.00165,0.01843,0.018692,0.055785,0.013283,0.015524,1348
"Barbour, AL",0.00302,0.62201,0.002504,0.002494,0.003933,0.003852,0.003031,0.00806,0.000919,0.000665,0.001235,0.044715,0.035019,0.002371,0.002558,0.003125,0.00443,0.000772,0.003189,0.001578,0.001429,0.00182,0.001867,0.0002,0.002003,0.407407,0.000518,0,0.001155,0.000188,0.000106,0.320842,0.002429,0.000646,0.000692,0.003627,0.003097,0.272727,0.000296,0.003063,0.010431,0.004927,0.004284,0.004201,0.003681,0.003733,0.005292,0.003688,0.003175,0.004328,0.00256,0.001839,0.001325,0.000865,0.000918,0.000448,0.641065,0.010403,0.252207,0.529032,0.002796,0.242502,0.000446,0.003012,0.002587,0.004705,0.009998,0.001455,107
"Bibb, AL",0.002192,0.602871,0.002165,0.002189,0.002784,0.004909,0.002193,0.004606,0.000357,0.000532,0.000714,0.044715,0.019455,0.002519,0.001535,0.002212,0.003055,0.000661,0.001245,0.00071,0.000487,0.00091,0.000986,0.00002,0.001731,0.360269,0.000736,0,0.001962,0.001447,0.000583,0.298627,0.002184,0.000314,0.000718,0.002677,0.002253,0.333333,0.000087,0.00262,0.003049,0.003033,0.002607,0.003115,0.004044,0.002613,0.003182,0.002652,0.002465,0.003356,0.002604,0.001863,0.001535,0.001687,0.000616,0.000086,0.720527,0.003308,0.335324,0.291935,0.002334,0.246226,0.00053,0.002542,0.002132,0.006301,0.003919,0.000817,22
"Blount, AL",0.005925,0.62201,0.005872,0.004892,0.008236,0.007002,0.005805,0.006333,0.000904,0.001197,0.001008,0.020325,0.007782,0.008151,0.003216,0.005127,0.00443,0.000992,0.003734,0.000868,0.001624,0.000607,0.001832,0.000132,0.005332,0.299663,0.000452,0,0.000899,0.001689,0.000371,0.240103,0.006009,0.002218,0.002269,0.006383,0.006439,0.369697,0.000987,0.007372,0.007323,0.007155,0.008357,0.006053,0.006344,0.007074,0.007423,0.007355,0.008074,0.007712,0.007335,0.005435,0.004844,0.002652,0.002617,0.001372,0.770809,0.00753,0.363573,0.235484,0.005838,0.250497,0.00128,0.00586,0.005816,0.018675,0.000591,0.003919,117
"Bullock, AL",0.001115,0.614035,0.001012,0.000985,0.001132,0.004421,0.001116,0.001151,0.000289,0.000066,0.000213,0.04065,0.007782,0.000445,0.000219,0.000737,0.000458,0.000551,0.000467,0.000395,0.000195,0.000303,0.000493,0,0.000748,0.494949,0.000736,0,0.001155,0.001299,0.000141,0.302032,0.00099,0,0.000808,0.001362,0.001045,0.30303,0.000166,0.001088,0.004553,0.001342,0.002472,0.001567,0.00151,0.00244,0.000679,0.000889,0.001136,0.00108,0.000577,0.000929,0.000514,0.000149,0.000266,0.000427,0.604337,0.00454,0.211961,0.559677,0.001112,0.243295,0.000252,0.001222,0.001005,0.000877,0.005953,0.000294,20
"Butler, AL",0.002027,0.639553,0.002105,0.001662,0.003098,0.004664,0.002063,0.006908,0.000607,0.000199,0.000178,0.101626,0.011673,0.002816,0.001535,0.003582,0.001375,0.001102,0.002878,0.001499,0.000649,0.000303,0.001409,0,0.001843,0.407407,0.001221,0.001241,0.003227,0.003204,0.000442,0.297854,0.002051,0.000594,0.000897,0.002076,0.002313,0.290909,0.000041,0.002616,0.00549,0.004793,0.00419,0.003608,0.003397,0.003495,0.003182,0.003275,0.002465,0.002228,0.002232,0.001588,0.000814,0.000865,0.000669,0.000362,0.643776,0.006012,0.24338,0.474194,0.002133,0.243648,0.000389,0.002033,0.002231,0.004151,0.007063,0.000766,177
"Calhoun, AL",0.011584,0.60925,0.011292,0.010674,0.016445,0.006947,0.011545,0.018998,0.003442,0.007115,0.008486,0.056911,0.046693,0.014079,0.00921,0.017978,0.009775,0.003417,0.013223,0.006943,0.00604,0.003641,0.010287,0.000643,0.010773,0.319865,0.012996,0.01737,0.023582,0.020252,0.004242,0.363594,0.01136,0.008803,0.005448,0.011857,0.012934,0.264646,0.00083,0.014406,0.028275,0.020563,0.018532,0.018561,0.017009,0.020688,0.017336,0.016662,0.015916,0.015545,0.014701,0.012317,0.009213,0.006612,0.00569,0.003862,0.705964,0.028439,0.32697,0.306452,0.012076,0.250522,0.002817,0.011814,0.012331,0.031992,0.018934,0.006894,845
"Chambers, AL",0.003485,0.661882,0.003207,0.002769,0.005522,0.003957,0.003547,0.005757,0.000657,0.000665,0.000463,0.073171,0.023346,0.004298,0.001681,0.004108,0.000916,0.000882,0.002178,0.001499,0.001039,0.00091,0.002396,0.000049,0.002881,0.461279,0.003228,0.002481,0.008692,0.008083,0.001361,0.290194,0.003082,0.00138,0.001333,0.003769,0.004131,0.260606,0.000114,0.00428,0.007691,0.007418,0.006697,0.007216,0.006461,0.005278,0.006385,0.005081,0.003786,0.004934,0.003896,0.00281,0.002198,0.000928,0.00042,0.000302,0.747422,0.008374,0.268135,0.333871,0.003485,0.241704,0.000826,0.003381,0.003585,0.007291,0.010295,0.000881,168
"Cherokee, AL",0.002483,0.700159,0.002317,0.001973,0.00435,0.00476,0.002496,0.005181,0.000545,0.000399,0.000584,0.028455,0.011673,0.002594,0.001681,0.00295,0.002291,0.000661,0.001556,0.001105,0.00052,0,0.000951,0.000043,0.002327,0.306397,0.000301,0,0.000935,0.001528,0.000159,0.271282,0.002502,0.001729,0.001449,0.002883,0.002948,0.327273,0.000068,0.003415,0.005196,0.004976,0.003743,0.0047,0.00402,0.003527,0.003359,0.005123,0.003848,0.003698,0.002878,0.003315,0.00168,0.000791,0.001202,0.000486,0.711119,0.005368,0.33296,0.296774,0.002647,0.246137,0.000675,0.002663,0.002631,0.008771,0.000938,0.001723,54
