"Autauga, AL",50756,37,14613,19347,5876,1947,49584,18,476,191,26030,7,9,96,31,175,10,10,65,37,60,4,88,2969,24132,8,116,3,367,1156,109,29938,9923,264,235,15980,17577,13.7,1310,15064,1261,979,811,835,1139,905,1089,964,931,1661,1950,2760,1317,825,605,256,14597,1553,53081,11.2,54571,10900,91.8,26569,28002,42154,9643,232,474,0.8,0.182
"Baldwin, AL",179878,41.1,41898,58343,30610,3270,171997,93,3227,696,131351,9,10,561,158,964,118,55,315,308,446,35,417,14763,81390,8.9,306,5,738,2622,142,30772,27120,468,915,61934,65014,18.3,7992,51151,3730,3406,3758,4495,4416,3949,3942,4141,3137,5968,7281,8275,5120,2541,2201,2137,16094,3816,48637,13.3,182265,41850,114.6,89196,93069,152200,17105,1216,1348,0.647,0.329
"Barbour, AL",29737,39,6015,9899,4102,1761,29663,14,442,10,2323,11,9,32,35,89,29,7,41,20,44,6,53,1352,9773,12.1,31,0,63,28,6,34119,3964,37,54,11755,10201,13.5,1387,6721,2094,918,728,708,597,580,780,527,411,1078,812,695,340,139,155,83,12061,2035,28802,32.8,27457,-1581,31,14576,12881,12837,12875,114,107,0.906,0.078
"Bibb, AL",21587,37.8,5201,8687,2904,2244,21464,8,172,8,1343,11,5,34,21,63,20,6,16,9,15,3,28,135,8444,10.7,44,0,107,215,33,31274,3565,18,56,8676,7419,16.5,406,5748,612,565,443,525,656,406,469,379,319,836,826,704,394,271,104,16,13556,647,38294,18.1,22915,2089,36.8,12301,10614,17191,5047,64,22,0.755,0.197
"Blount, AL",58345,39,14106,19416,8590,3201,56804,11,435,18,1895,5,2,110,44,146,29,9,48,11,50,2,52,895,26016,8.9,27,0,49,251,21,23779,9806,127,177,20687,21208,18.3,4626,16175,1470,1333,1420,1020,1029,1099,1094,1051,1045,1921,2327,2054,1243,426,442,254,14502,1473,41520,14.6,57322,6298,88.9,28362,28960,50952,761,307,117,0.551,0.386
"Bullock, AL",10985,38.5,2430,3911,1181,2021,10917,2,139,1,400,10,2,6,3,21,3,5,6,5,6,1,14,0,3651,14.7,44,0,63,193,8,31710,1616,0,63,4415,3441,15,777,2387,914,250,420,264,245,379,100,127,147,269,183,351,132,24,45,79,11370,888,24206,34.7,10914,-800,17.5,5912,5002,2392,7666,23,20,0.913,0.066
"Butler, AL",19964,40.1,5056,6597,3231,2132,20189,12,292,3,334,25,3,38,21,102,9,10,37,19,20,1,40,0,8993,12.1,73,1,176,476,25,31175,3347,34,70,6727,7617,14.4,191,5739,1102,893,712,608,551,543,469,468,319,555,708,600,209,139,113,67,12112,1176,27794,29.4,20947,-452,27,9838,11109,11324,9095,60,177,0.921,0.065
"Calhoun, AL",114081,38.2,27126,42361,17152,3176,112969,33,1656,107,15959,14,12,190,126,512,64,31,170,88,186,12,292,4352,52565,9.5,777,14,1286,3009,240,39594,18539,504,425,38428,42600,13.1,3893,31609,5676,3831,3149,3128,2759,3214,2555,2381,2060,3872,4664,4655,2364,1062,961,715,13282,5563,37340,19,118572,6323,195.7,57176,61396,87285,24382,540,845,0.765,0.218
"Chambers, AL",34320,41.5,7703,10988,5759,1809,34704,10,316,10,870,18,6,58,23,117,6,8,28,19,32,3,68,334,14060,13.7,193,2,474,1201,77,30194,5030,79,104,12214,13607,12.9,536,9391,1544,1382,1138,1216,1048,820,941,726,490,1229,1236,1062,564,149,71,56,14062,1638,30621,20.7,34215,-2368,57.4,16363,17852,19893,13257,69,168,0.886,0.095
"Cherokee, AL",24448,43.9,5566,7829,4537,2176,24427,9,262,6,1099,7,3,35,23,84,15,6,20,14,16,0,27,289,11355,9.1,18,0,51,227,9,27772,4084,99,113,9344,9711,16.2,320,7493,1043,927,636,792,652,548,495,732,498,921,913,1253,431,127,203,90,13379,1050,38024,18.4,25989,2001,46.9,12888,13101,23929,1208,135,54,0.661,0.249
"Chilton, AL",42971,37.6,10960,15271,5745,2776,42272,11,385,22,2968,21,7,93,47,163,26,9,49,25,38,1,65,864,19067,9.4,395,0,269,823,54,30150,7617,88,145,15302,16068,16.6,3420,12092,1749,1254,1185,977,1137,1067,884,779,865,1473,1382,1676,825,375,329,219,13636,2152,38916,18.7,43643,4050,63,21608,22035,35395,4230,155,130,0.731,0.246
"Choctaw, AL",13990,43.4,3141,4107,2442,1719,14229,5,215,1,200,24,2,17,6,61,13,5,14,7,19,2,27,0,4986,11.4,0,0,11,10,2,44691,1886,0,36,4914,5492,14.7,73,3873,816,646,611,354,410,397,347,340,189,496,436,482,123,55,37,41,13551,720,31067,22.8,13859,-2063,15.2,6688,7171,7700,6012,18,12,0.802,0.124
"Clarke, AL",26042,40.2,6389,8160,4145,1641,26438,18,550,5,753,33,8,41,31,141,30,15,59,18,27,7,53,151,10057,15.8,35,0,40,196,11,31541,5013,48,72,8720,9854,16,271,7204,1826,770,851,809,854,318,363,325,258,582,537,711,542,227,126,160,12718,1235,32729,29.1,25833,-2034,20.9,12214,13619,13943,11336,103,77,0.93,0.063
"Clay, AL",13640,42,3144,4399,2500,2344,13769,5,195,2,295,15,3,23,10,41,13,1,11,9,10,3,23,0,5356,13.9,13,0,59,87,7,30037,2130,48,19,5111,5495,16,399,3978,596,402,436,506,437,407,351,432,219,469,634,553,241,35,30,26,13447,482,34831,19.2,13932,-322,23.1,6833,7099,11186,2066,55,24,0.818,0.137
"Cleburne, AL",14759,40.6,3551,4860,2239,3076,14579,6,189,8,1322,8,1,27,10,48,8,0,9,6,8,0,11,0,6292,8.4,46,1,98,204,34,35697,2657,14,97,5571,5398,15.2,307,4196,617,562,395,343,457,343,367,216,141,350,546,625,94,73,54,96,12845,494,37870,17,14972,849,26.7,7453,7519,13956,498,51,23,0.732,0.238
"Coffee, AL",48635,37.6,12084,17817,6937,2171,46802,15,614,239,21530,12,5,99,33,211,24,19,74,61,71,12,105,2912,21319,7.3,123,1,180,329,33,29088,9127,119,136,16399,17495,15.7,3180,13837,1724,1485,1269,1063,1140,1303,1130,835,805,1481,1908,1996,1331,591,488,301,13728,1787,43296,15.7,49948,6333,73.6,24684,25264,36134,8359,645,644,0.772,0.201
"Colbert, AL",54639,41.8,12034,17442,9168,2158,54546,19,731,88,10083,4,2,102,107,235,42,14,98,32,95,7,137,2111,25085,9.7,343,2,507,1576,80,39717,8468,118,183,19275,21670,14,1093,15442,2166,1959,1915,1379,1322,1522,1383,1224,884,2043,2036,2728,1149,451,383,337,15260,2039,37111,16,54428,-556,91.8,26159,28269,43334,8768,267,229,0.65,0.225
"Conecuh, AL",12931,43,3042,3849,2296,1834,13114,3,119,1,85,22,2,12,12,43,19,4,9,7,7,1,25,0,4577,16.3,27,1,70,139,11,30634,1662,20,43,4583,5020,13.2,161,3717,875,714,501,474,311,416,158,197,195,402,359,471,146,75,30,77,12062,901,26882,27.5,13228,-861,15.6,6412,6816,6764,6149,44,17,0.714,0.191
"Coosa, AL",10556,44.2,2370,3534,1833,2087,10777,2,17,0,0,5,2,13,8,21,4,1,4,7,5,0,6,0,4328,13.1,24,0,103,160,5,30112,1349,0,2,4233,4142,15.4,230,3293,571,477,227,391,366,309,236,247,267,226,372,499,189,108,6,37,13131,466,34795,16.7,11539,-663,17.7,5727,5812,7604,3582,40,16,0.877,0.108
"Covington, AL",36678,42.4,8523,11568,6882,2241,36688,15,764,12,2129,11,3,97,36,184,33,8,61,39,68,3,96,0,16235,9.1,94,2,169,607,27,31621,6165,34,86,13293,14308,14.8,483,10539,1785,1448,1182,1216,943,1109,659,800,517,1242,1469,1037,567,245,309,123,13541,2241,32179,22.5,37765,134,36.6,18288,19477,31751,4716,214,155,0.773,0.197
"Crenshaw, AL",13781,40.7,3308,4393,2226,2131,13687,5,195,1,90,21,1,26,12,46,20,0,13,9,15,1,16,0,6489,8.7,25,1,73,167,21,36209,2487,86,75,4683,5338,17.3,204,3882,984,559,541,394,365,395,268,224,220,535,398,535,146,112,61,120,12404,978,31849,20.6,13906,241,22.8,6714,7192,10020,3254,57,189,0.878,0.103
"Cullman, AL",81778,39.9,18641,26848,12760,3719,80630,37,1479,24,2822,15,5,193,124,328,89,20,114,55,115,9,185,1236,37808,8.8,151,1,373,939,73,30107,12805,208,179,29345,29939,16,3454,22487,3309,2470,2303,2085,2233,1855,1833,1419,1396,2819,3108,2827,1456,817,628,435,14463,2642,37425,19.3,80406,2923,109.4,39719,40687,74568,856,408,343,0.608,0.345
"Dale, AL",48147,36.1,12477,18120,6271,2110,48233,13,363,136,8189,13,7,79,32,142,36,12,49,34,107,12,67,850,19916,8.5,177,0,327,851,74,55214,6585,74,174,16964,17589,14.5,2821,13721,1823,1300,1503,1114,1220,1179,975,1338,1039,1816,1883,2072,1105,426,256,208,12407,2430,41279,16.2,50251,1122,89.6,24825,25426,35705,9679,371,534,0.77,0.207
"Dallas, AL",41925,37.7,11595,14028,6211,1649,42748,12,504,36,2900,13,5,56,42,185,13,10,45,32,48,7,109,0,15020,17.3,339,5,746,1714,257,32677,8198,15,170,13001,16324,11.4,309,11440,3532,1789,1638,1200,1198,1026,834,664,519,957,1208,1265,659,267,177,144,12314,3871,27088,35,43820,-2545,44.8,20244,23576,12676,30423,85,149,0.744,0.154
"Elmore, AL",79233,37.8,18707,29449,9576,2606,76714,22,726,128,15564,10,14,170,60,215,17,14,73,46,93,4,111,10567,35819,8.4,144,2,495,1463,66,30208,12835,347,231,28156,26913,15.1,2129,21003,1717,1268,1168,1489,1273,1641,1096,1371,1052,2563,2938,3567,1860,1195,734,485,14683,2034,50194,14.2,79303,13429,128.2,38689,40614,59449,15900,285,518,0.801,0.184
"Escambia, AL",37434,39.2,8679,13514,5678,2107,37561,18,694,7,460,19,8,76,39,186,25,26,58,21,44,2,71,0,14386,11.1,187,3,221,828,58,35389,5874,53,185,14582,13471,15.1,718,9705,2139,1173,1253,1114,785,1187,666,737,673,1003,1368,1086,613,168,127,130,13198,2712,31443,22,38319,-121,40.5,19766,18553,23508,12220,1288,92,0.885,0.099
