"Autauga, AL",0.012457,0.432432,0.012723,0.011617,0.013072,0.032824,0.012662,0.016729,0.00199,0.0127,0.013842,0.075269,0.035019,0.012243,0.0077,0.014242,0.003757,0.006523,0.009234,0.007048,0.004843,0.003234,0.008673,0.002674,0.011986,0.224215,0.003395,0.007833,0.008555,0.010492,0.004251,0.339757,0.013562,0.012858,0.008313,0.012005,0.013486,0.165501,0.000783,0.015257,0.013243,0.013503,0.010569,0.010236,0.014763,0.01206,0.015827,0.014042,0.014985,0.014517,0.013199,0.015565,0.011711,0.012571,0.009522,0.003774,0.79513,0.013935,0.342969,0.175166,0.013315,0.171306,0.011472,0.013018,0.013609,0.018792,0.012435,0.002962,0.001873,0.445,0.225771,0.148,0.161326,0.035
"Baldwin, AL",0.044175,0.555556,0.036494,0.03506,0.068124,0.055128,0.043972,0.086431,0.013493,0.04628,0.069848,0.096774,0.038911,0.071547,0.039245,0.078451,0.044328,0.035877,0.044751,0.058667,0.035997,0.028294,0.041096,0.013297,0.040483,0.264574,0.008956,0.013055,0.017203,0.023799,0.005538,0.349221,0.037065,0.022794,0.032369,0.046616,0.049956,0.272727,0.00478,0.051871,0.039174,0.046978,0.048974,0.055105,0.057311,0.052626,0.057292,0.060318,0.050493,0.052206,0.049284,0.046701,0.045526,0.03872,0.03464,0.031505,0.876675,0.03424,0.295196,0.221729,0.044518,0.206246,0.014324,0.043758,0.045271,0.06792,0.022057,0.015524,0.005327,0.469,0.212555,0.17,0.092818,0.059
"Barbour, AL",0.007294,0.492492,0.005233,0.005937,0.009123,0.029688,0.007566,0.013011,0.001848,0.000665,0.001235,0.11828,0.035019,0.004081,0.008693,0.007243,0.010894,0.004566,0.005825,0.00381,0.003551,0.00485,0.005223,0.001218,0.004839,0.408072,0.000907,0,0.001469,0.000254,0.000234,0.387206,0.005418,0.001802,0.00191,0.008823,0.007815,0.160839,0.000829,0.006793,0.021992,0.012662,0.009487,0.00868,0.007725,0.007729,0.011336,0.007676,0.006615,0.009416,0.005496,0.003907,0.003023,0.002118,0.002439,0.001224,0.656989,0.01826,0.081969,0.654102,0.006689,0.157216,0.003866,0.007132,0.006251,0.005704,0.016602,0.001455,0.000423,0.501,0.197137,0.146,0.134807,0.036
"Bibb, AL",0.005292,0.456456,0.004523,0.005208,0.006457,0.037831,0.005469,0.007435,0.000719,0.000532,0.000714,0.11828,0.019455,0.004336,0.005216,0.005127,0.007513,0.003914,0.002273,0.001714,0.001211,0.002425,0.002759,0.000122,0.004178,0.345291,0.001288,0,0.002494,0.001951,0.001287,0.354919,0.004872,0.000877,0.001981,0.006504,0.005676,0.230769,0.000242,0.005805,0.006427,0.007793,0.005773,0.006436,0.008492,0.005411,0.006816,0.005521,0.005135,0.007298,0.005591,0.003958,0.003503,0.00413,0.001637,0.000236,0.738425,0.005805,0.184008,0.32816,0.005579,0.161359,0.004591,0.006015,0.005147,0.007648,0.006508,0.000817,0.000087,0.494,0.280837,0.112,0.109392,0.021
"Blount, AL",0.014321,0.492492,0.012281,0.011658,0.019113,0.053965,0.014508,0.010223,0.001819,0.001197,0.001008,0.053763,0.007782,0.014029,0.010929,0.011882,0.010894,0.005871,0.006819,0.002095,0.004036,0.001617,0.005125,0.000806,0.012923,0.264574,0.00079,0,0.001142,0.002278,0.000819,0.26986,0.013402,0.006185,0.006261,0.01555,0.016277,0.272727,0.002766,0.016385,0.015438,0.018386,0.018505,0.012504,0.013335,0.014646,0.0159,0.015309,0.01682,0.016792,0.015751,0.011579,0.011053,0.006491,0.006956,0.003745,0.789955,0.013217,0.218688,0.250554,0.013987,0.166111,0.011109,0.013898,0.014075,0.02272,0.000981,0.003919,0.000462,0.487,0.268722,0.122,0.110497,0.022
"Bullock, AL",0.002687,0.477477,0.002109,0.002337,0.002622,0.034072,0.002772,0.001859,0.000581,0.000066,0.000213,0.107527,0.007782,0.000765,0.000745,0.001709,0.001127,0.003262,0.000852,0.000952,0.000484,0.000808,0.00138,0,0.001792,0.524664,0.001288,0,0.001469,0.001752,0.000312,0.359867,0.002209,0,0.002229,0.003294,0.002618,0.195804,0.000464,0.002395,0.009599,0.003448,0.005473,0.003236,0.003155,0.005051,0.001453,0.00185,0.002366,0.002336,0.001239,0.001965,0.001174,0.000366,0.000708,0.001165,0.619349,0.007968,0.032562,0.696231,0.002647,0.158098,0.002177,0.002879,0.002417,0.001041,0.009885,0.000294,0.000079,0.565,0.187225,0.116,0.093923,0.042
"Butler, AL",0.004893,0.525526,0.004397,0.003952,0.007185,0.035943,0.005143,0.011152,0.001221,0.000199,0.000178,0.268817,0.011673,0.004846,0.005216,0.008301,0.003381,0.006523,0.005256,0.003619,0.001614,0.000808,0.003942,0,0.004451,0.408072,0.002137,0.002611,0.004103,0.00432,0.000975,0.353795,0.004574,0.001656,0.002476,0.005036,0.005828,0.181818,0.000113,0.005796,0.011574,0.012317,0.009279,0.007454,0.007128,0.007236,0.006816,0.006817,0.005135,0.004839,0.004792,0.00337,0.001858,0.002118,0.001778,0.000988,0.659767,0.010552,0.071133,0.578714,0.005099,0.158491,0.003365,0.004806,0.005388,0.005029,0.011728,0.000766,0.0007,0.538,0.183921,0.133,0.130387,0.027
"Calhoun, AL",0.028012,0.468468,0.023625,0.025452,0.03817,0.053544,0.028874,0.030669,0.006924,0.007115,0.008486,0.150538,0.046693,0.024232,0.031297,0.041667,0.024042,0.020222,0.024151,0.016762,0.015012,0.009701,0.028777,0.00392,0.026136,0.29148,0.022742,0.036554,0.029977,0.027311,0.00936,0.44934,0.025337,0.024547,0.015035,0.028912,0.032724,0.151515,0.002328,0.032044,0.059611,0.05284,0.041037,0.038347,0.035797,0.042831,0.037134,0.034682,0.033158,0.033864,0.03157,0.026264,0.02102,0.016183,0.015124,0.010541,0.723499,0.049916,0.173753,0.348115,0.028954,0.166139,0.02447,0.028041,0.029859,0.03894,0.031441,0.006894,0.003339,0.451,0.213656,0.163,0.130387,0.048
"Chambers, AL",0.008419,0.567568,0.006703,0.006591,0.012811,0.030498,0.008856,0.009294,0.001321,0.000665,0.000463,0.193548,0.023346,0.007397,0.005713,0.009521,0.002254,0.005219,0.003978,0.003619,0.002583,0.002425,0.006701,0.000301,0.006973,0.479821,0.005649,0.005222,0.011049,0.010901,0.003003,0.342662,0.006874,0.003848,0.003679,0.009168,0.010433,0.146853,0.000319,0.009502,0.016216,0.019062,0.01483,0.014907,0.013581,0.010928,0.013676,0.010575,0.007887,0.010737,0.008366,0.005979,0.005015,0.00227,0.001117,0.000826,0.765988,0.014698,0.101523,0.385809,0.008341,0.156328,0.007168,0.008009,0.00867,0.008854,0.017095,0.000881,0.000664,0.476,0.220264,0.131,0.144751,0.037
"Cherokee, AL",0.005994,0.63964,0.004841,0.004692,0.010092,0.036685,0.006227,0.008364,0.001096,0.000399,0.000584,0.075269,0.011673,0.004464,0.005713,0.006836,0.005635,0.003914,0.002841,0.002667,0.001291,0,0.002661,0.00026,0.005626,0.273543,0.000527,0,0.001189,0.00206,0.000351,0.315175,0.005582,0.004822,0.003997,0.007007,0.007438,0.223776,0.00019,0.007576,0.010954,0.012786,0.008288,0.009709,0.00844,0.007303,0.007194,0.010662,0.008016,0.008042,0.00618,0.007057,0.003832,0.001935,0.003195,0.001327,0.728783,0.009422,0.181106,0.334812,0.006331,0.16126,0.005855,0.006303,0.006358,0.010656,0.001558,0.001723,0.000213,0.521,0.190529,0.152,0.110497,0.028
"Chilton, AL",0.010544,0.45045,0.009541,0.009166,0.01278,0.0468,0.010791,0.010223,0.00161,0.001463,0.001578,0.225806,0.027237,0.011861,0.011674,0.013265,0.009767,0.005871,0.006961,0.004762,0.003067,0.000808,0.006406,0.000778,0.009465,0.286996,0.011561,0,0.00627,0.00747,0.002106,0.342163,0.01041,0.004286,0.005129,0.011494,0.012326,0.2331,0.002045,0.012242,0.018369,0.017296,0.015443,0.011977,0.014737,0.014219,0.012848,0.011347,0.013923,0.012872,0.009354,0.009445,0.007336,0.005714,0.005178,0.003229,0.742782,0.01931,0.190695,0.341463,0.010644,0.163573,0.007869,0.010583,0.010705,0.015775,0.005455,0.001979,0.000514,0.493,0.240088,0.134,0.119337,0.02
"Choctaw, AL",0.003425,0.624625,0.002729,0.002455,0.005429,0.02898,0.003619,0.004647,0.000899,0.000066,0.000106,0.258065,0.007782,0.002168,0.00149,0.004964,0.004884,0.003262,0.001989,0.001333,0.001533,0.001617,0.002661,0,0.002457,0.376682,0,0,0.000256,0.000091,0.000078,0.507184,0.002578,0,0.001274,0.00367,0.004195,0.188811,0.000042,0.003903,0.00857,0.00891,0.007962,0.00434,0.005297,0.005291,0.005043,0.004952,0.003042,0.004323,0.002951,0.002704,0.001094,0.000838,0.000582,0.000604,0.738152,0.00646,0.106318,0.432373,0.003367,0.156672,0.001889,0.00326,0.003472,0.003411,0.007752,0.00023,0.000047,0.499,0.231278,0.147,0.087293,0.032
"Clarke, AL",0.006386,0.528529,0.005558,0.004891,0.009219,0.027665,0.006741,0.016729,0.0023,0.000332,0.0004,0.354839,0.031128,0.005229,0.0077,0.011475,0.01127,0.009785,0.008382,0.003429,0.002179,0.005659,0.005223,0.000136,0.00498,0.573991,0.001024,0,0.000932,0.001779,0.000429,0.357949,0.006851,0.002338,0.002547,0.006537,0.007548,0.219114,0.000161,0.007283,0.019177,0.01062,0.01109,0.009918,0.011062,0.004238,0.005276,0.004734,0.004153,0.005075,0.003635,0.003997,0.004819,0.003459,0.001983,0.002359,0.692777,0.011082,0.124184,0.572062,0.006292,0.156705,0.002602,0.005972,0.00661,0.006198,0.014618,0.001315,0.000304,0.502,0.212555,0.175,0.098343,0.027
"Clay, AL",0.00334,0.582583,0.002731,0.00263,0.005558,0.039517,0.003501,0.004647,0.000815,0.000133,0.000157,0.16129,0.011673,0.002933,0.002484,0.003337,0.004884,0.000652,0.001563,0.001714,0.000807,0.002425,0.002267,0,0.002641,0.488789,0.00038,0,0.001375,0.00079,0.000273,0.34088,0.002911,0.002338,0.000672,0.003819,0.004197,0.219114,0.000238,0.00401,0.006259,0.005545,0.005682,0.006203,0.005648,0.005424,0.005101,0.006293,0.003525,0.004086,0.004291,0.003105,0.002143,0.000533,0.000472,0.000383,0.732487,0.004325,0.146781,0.35255,0.003384,0.158637,0.002877,0.003331,0.003437,0.004967,0.002664,0.000702,0.000095,0.476,0.227974,0.125,0.134807,0.031
"Cleburne, AL",0.003614,0.540541,0.003086,0.002907,0.004977,0.051858,0.003708,0.005576,0.00079,0.000532,0.000703,0.086022,0.003891,0.003443,0.002484,0.003906,0.003005,0,0.001279,0.001143,0.000646,0,0.001084,0,0.003107,0.242152,0.001346,0.002611,0.002284,0.001852,0.001326,0.405114,0.003631,0.000682,0.003431,0.004165,0.004122,0.200466,0.000182,0.004231,0.00648,0.007752,0.005148,0.004205,0.005908,0.004571,0.005334,0.003146,0.00227,0.003045,0.003696,0.003512,0.000836,0.001112,0.00085,0.001415,0.699695,0.004433,0.17945,0.303769,0.003638,0.159959,0.003328,0.003636,0.003641,0.006204,0.000642,0.000651,0.000091,0.483,0.232379,0.136,0.110497,0.024
"Coffee, AL",0.011936,0.45045,0.01052,0.010697,0.015433,0.036601,0.01195,0.013941,0.002567,0.015892,0.011449,0.129032,0.019455,0.012626,0.008197,0.017171,0.009016,0.012394,0.010513,0.011619,0.00573,0.009701,0.010348,0.002623,0.010585,0.192825,0.0036,0.002611,0.004196,0.002986,0.001287,0.33011,0.012474,0.005796,0.004811,0.01232,0.013423,0.212121,0.001901,0.014012,0.018106,0.020482,0.016537,0.013032,0.014776,0.017364,0.016423,0.012163,0.012957,0.012942,0.012915,0.011252,0.011835,0.009006,0.00768,0.004438,0.747794,0.016035,0.23778,0.274945,0.012185,0.16615,0.009195,0.012093,0.012276,0.016105,0.010779,0.008234,0.002545,0.414,0.256608,0.155,0.145856,0.036
"Colbert, AL",0.013411,0.576577,0.010476,0.010471,0.020399,0.036381,0.013931,0.017658,0.003057,0.005851,0.005362,0.043011,0.007782,0.013009,0.026577,0.019124,0.015778,0.009132,0.013922,0.006095,0.007667,0.005659,0.013502,0.001901,0.01246,0.300448,0.010039,0.005222,0.011818,0.014305,0.00312,0.450735,0.011573,0.005747,0.006474,0.014487,0.016632,0.172494,0.000653,0.015641,0.022748,0.02702,0.024956,0.016906,0.017139,0.020283,0.0201,0.017829,0.014229,0.01786,0.013781,0.015385,0.010217,0.006872,0.006028,0.004968,0.831245,0.018296,0.171291,0.281596,0.01328,0.158373,0.011472,0.012817,0.013739,0.019319,0.011306,0.003409,0.000905,0.474,0.21696,0.177,0.120442,0.031
"Conecuh, AL",0.003165,0.612613,0.002642,0.0023,0.005104,0.030919,0.003333,0.002788,0.000498,0.000066,0.000045,0.236559,0.007782,0.00153,0.002981,0.003499,0.007137,0.002609,0.001279,0.001333,0.000565,0.000808,0.002464,0,0.002253,0.596413,0.00079,0.002611,0.001632,0.001262,0.000429,0.347655,0.002271,0.000974,0.001521,0.003421,0.003832,0.153846,0.000095,0.003745,0.00919,0.009848,0.006529,0.005811,0.004012,0.005544,0.002296,0.00287,0.003139,0.0035,0.00243,0.002642,0.001298,0.001143,0.000472,0.001135,0.657043,0.008085,0.061329,0.536585,0.003212,0.158029,0.001939,0.003125,0.003299,0.002993,0.007929,0.000562,0.000067,0.59,0.176211,0.108,0.116022,0.013
"Coosa, AL",0.002582,0.648649,0.002057,0.00211,0.004073,0.035184,0.002736,0.001859,0.000071,0,0,0.053763,0.007782,0.001658,0.001987,0.001709,0.001503,0.000652,0.000568,0.001333,0.000404,0,0.000591,0,0.002129,0.452915,0.000702,0,0.002401,0.001452,0.000195,0.341731,0.001844,0,0.000071,0.003157,0.003157,0.205128,0.000136,0.003315,0.005997,0.006579,0.002958,0.004793,0.004726,0.004118,0.00343,0.003598,0.004298,0.00196,0.002518,0.0028,0.001681,0.001646,0.000094,0.000545,0.715274,0.004181,0.146394,0.297118,0.0028,0.158252,0.002202,0.002788,0.002811,0.003368,0.004619,0.000511,0.000063,0.553,0.214758,0.108,0.099448,0.03
"Covington, AL",0.008999,0.594595,0.007418,0.00694,0.015311,0.037781,0.009363,0.013941,0.003195,0.000798,0.001132,0.11828,0.011673,0.012371,0.008942,0.014974,0.012397,0.005219,0.008666,0.007429,0.005488,0.002425,0.009461,0,0.008055,0.273543,0.002751,0.005222,0.003939,0.005509,0.001053,0.358857,0.008426,0.001656,0.003042,0.009981,0.010972,0.191142,0.000288,0.010666,0.018747,0.019972,0.015404,0.014907,0.012218,0.014779,0.009578,0.011653,0.008322,0.010851,0.009943,0.005838,0.005042,0.003733,0.004863,0.001813,0.737608,0.020108,0.118272,0.425721,0.009208,0.159152,0.004566,0.008954,0.00946,0.014148,0.006081,0.002732,0.000613,0.481,0.203744,0.133,0.146961,0.034
"Crenshaw, AL",0.003374,0.543544,0.002874,0.002627,0.004948,0.035926,0.00348,0.004647,0.000815,0.000066,0.000048,0.225806,0.003891,0.003316,0.002981,0.003743,0.007513,0,0.001847,0.001714,0.001211,0.000808,0.001577,0,0.003205,0.255605,0.000732,0.002611,0.001702,0.001516,0.000819,0.410924,0.003399,0.004189,0.002653,0.003496,0.004076,0.249417,0.000121,0.003912,0.010334,0.00771,0.00705,0.00483,0.004713,0.005264,0.003895,0.003263,0.003541,0.004664,0.002694,0.003004,0.001298,0.001707,0.00096,0.001769,0.675673,0.008775,0.114724,0.383592,0.003378,0.159273,0.00284,0.003273,0.003482,0.004446,0.004196,0.000728,0.000747,0.545,0.241189,0.104,0.100552,0.026
"Cullman, AL",0.020077,0.51952,0.016232,0.016126,0.028394,0.062698,0.020602,0.034387,0.006184,0.001596,0.001501,0.16129,0.019455,0.024614,0.0308,0.026693,0.033434,0.013046,0.016195,0.010476,0.009282,0.007276,0.018232,0.001113,0.018792,0.26009,0.00442,0.002611,0.008695,0.008523,0.002847,0.341675,0.0175,0.010131,0.006332,0.022071,0.02299,0.219114,0.002065,0.022789,0.034752,0.034068,0.030012,0.025561,0.028967,0.02472,0.026641,0.020669,0.02247,0.02465,0.021037,0.015943,0.012946,0.01245,0.009884,0.006413,0.787831,0.023706,0.174666,0.354767,0.019628,0.162301,0.013674,0.019473,0.019781,0.033263,0.001104,0.005209,0.001356,0.506,0.223568,0.135,0.121547,0.027
