"Autauga, AL",0.012457,0.359102,0.012723,0.011617,0.016296,0.032824,0.012662,0.016729,0.00199,0.0127,0.013842,0.075269,0.035019,0.016137,0.0077,0.014242,0.003511,0.006523,0.00958,0.007724,0.004843,0.004073,0.009059,0.00325,0.011986,0.238806,0.003395,0.007833,0.008555,0.010492,0.004887,0.349733,0.013562,0.013888,0.009601,0.012183,0.013504,0.165501,0.000781,0.015257,0.013243,0.013503,0.010569,0.010236,0.014763,0.01206,0.015864,0.014433,0.015891,0.014897,0.015313,0.017884,0.013183,0.013294,0.009522,0.003774,0.79513,0.011969,0.339846,0.173333,0.013315,0.269693,0.011472,0.013018,0.013609,0.03119,0.012435,0.004505,0.001873,0.860215,0.182
"Baldwin, AL",0.044175,0.461347,0.036494,0.03506,0.084927,0.055128,0.043972,0.086431,0.013493,0.04628,0.069848,0.096774,0.038911,0.094302,0.039245,0.078451,0.041433,0.035877,0.046426,0.064301,0.035997,0.035642,0.042928,0.016162,0.040483,0.283582,0.008956,0.013055,0.017203,0.023799,0.006367,0.359181,0.037065,0.02462,0.037382,0.047307,0.050024,0.272727,0.004779,0.051871,0.039174,0.046978,0.048974,0.055105,0.057311,0.052626,0.057423,0.061998,0.053544,0.053573,0.057176,0.053657,0.051251,0.040946,0.03464,0.031505,0.876675,0.029409,0.291846,0.22,0.044518,0.302885,0.014324,0.043758,0.045271,0.112731,0.022057,0.023611,0.005327,0.695699,0.329
"Barbour, AL",0.007294,0.408978,0.005233,0.005937,0.011374,0.029688,0.007566,0.013011,0.001848,0.000665,0.001235,0.11828,0.035019,0.005379,0.008693,0.007243,0.010183,0.004566,0.006043,0.004175,0.003551,0.00611,0.005456,0.00148,0.004839,0.442786,0.000907,0,0.001469,0.000254,0.000269,0.397098,0.005418,0.001946,0.002206,0.008953,0.007826,0.160839,0.000827,0.006793,0.021992,0.012662,0.009487,0.00868,0.007725,0.007729,0.011362,0.00789,0.007015,0.009662,0.006376,0.004489,0.003403,0.00224,0.002439,0.001224,0.656989,0.015683,0.077606,0.653333,0.006689,0.256308,0.003866,0.007132,0.006251,0.009467,0.016602,0.002214,0.000423,0.974194,0.078
"Bibb, AL",0.005292,0.379052,0.004523,0.005208,0.00805,0.037831,0.005469,0.007435,0.000719,0.000532,0.000714,0.11828,0.019455,0.005715,0.005216,0.005127,0.007022,0.003914,0.002358,0.001879,0.001211,0.003055,0.002882,0.000148,0.004178,0.373134,0.001288,0,0.002494,0.001951,0.00148,0.364868,0.004872,0.000947,0.002288,0.0066,0.005684,0.230769,0.00024,0.005805,0.006427,0.007793,0.005773,0.006436,0.008492,0.005411,0.006832,0.005674,0.005445,0.007489,0.006486,0.004547,0.003944,0.004367,0.001637,0.000236,0.738425,0.004986,0.18013,0.326667,0.005579,0.260244,0.004591,0.006015,0.005147,0.012694,0.006508,0.001243,0.000087,0.811828,0.197
"Blount, AL",0.014321,0.408978,0.012281,0.011658,0.023827,0.053965,0.014508,0.010223,0.001819,0.001197,0.001008,0.053763,0.007782,0.018491,0.010929,0.011882,0.010183,0.005871,0.007074,0.002296,0.004036,0.002037,0.005353,0.00098,0.012923,0.283582,0.00079,0,0.001142,0.002278,0.000942,0.279961,0.013402,0.006681,0.007231,0.01578,0.016299,0.272727,0.002765,0.016385,0.015438,0.018386,0.018505,0.012504,0.013335,0.014646,0.015936,0.015735,0.017837,0.017232,0.018273,0.013304,0.012442,0.006865,0.006956,0.003745,0.789955,0.011352,0.214975,0.248889,0.013987,0.264758,0.011109,0.013898,0.014075,0.037709,0.000981,0.005961,0.000462,0.592473,0.386
"Bullock, AL",0.002687,0.396509,0.002109,0.002337,0.003269,0.034072,0.002772,0.001859,0.000581,0.000066,0.000213,0.107527,0.007782,0.001009,0.000745,0.001709,0.001053,0.003262,0.000884,0.001044,0.000484,0.001018,0.001441,0,0.001792,0.572139,0.001288,0,0.001469,0.001752,0.000359,0.369807,0.002209,0,0.002574,0.003343,0.002621,0.195804,0.000462,0.002395,0.009599,0.003448,0.005473,0.003236,0.003155,0.005051,0.001457,0.001901,0.002509,0.002398,0.001437,0.002257,0.001321,0.000387,0.000708,0.001165,0.619349,0.006844,0.027964,0.695556,0.002647,0.257146,0.002177,0.002879,0.002417,0.001728,0.009885,0.000447,0.000079,0.98172,0.066
"Butler, AL",0.004893,0.436409,0.004397,0.003952,0.008957,0.035943,0.005143,0.011152,0.001221,0.000199,0.000178,0.268817,0.011673,0.006388,0.005216,0.008301,0.00316,0.006523,0.005453,0.003967,0.001614,0.001018,0.004118,0,0.004451,0.442786,0.002137,0.002611,0.004103,0.00432,0.001121,0.363747,0.004574,0.001789,0.00286,0.00511,0.005836,0.181818,0.000112,0.005796,0.011574,0.012317,0.009279,0.007454,0.007128,0.007236,0.006832,0.007007,0.005445,0.004966,0.00556,0.003872,0.002092,0.00224,0.001778,0.000988,0.659767,0.009063,0.066719,0.577778,0.005099,0.257519,0.003365,0.004806,0.005388,0.008346,0.011728,0.001165,0.0007,0.990323,0.065
"Calhoun, AL",0.028012,0.389027,0.023625,0.025452,0.047584,0.053544,0.028874,0.030669,0.006924,0.007115,0.008486,0.150538,0.046693,0.031938,0.031297,0.041667,0.022472,0.020222,0.025055,0.018372,0.015012,0.01222,0.03006,0.004764,0.026136,0.313433,0.022742,0.036554,0.029977,0.027311,0.01076,0.459121,0.025337,0.026514,0.017363,0.029341,0.032768,0.151515,0.002327,0.032044,0.059611,0.05284,0.041037,0.038347,0.035797,0.042831,0.037219,0.035648,0.035161,0.034752,0.036625,0.030176,0.023664,0.017113,0.015124,0.010541,0.723499,0.042873,0.169826,0.346667,0.028954,0.264785,0.02447,0.028041,0.029859,0.064631,0.031441,0.010485,0.003339,0.822581,0.218
"Chambers, AL",0.008419,0.471322,0.006703,0.006591,0.015971,0.030498,0.008856,0.009294,0.001321,0.000665,0.000463,0.193548,0.023346,0.00975,0.005713,0.009521,0.002107,0.005219,0.004127,0.003967,0.002583,0.003055,0.007,0.000366,0.006973,0.522388,0.005649,0.005222,0.011049,0.010901,0.003452,0.352633,0.006874,0.004156,0.004249,0.009304,0.010448,0.146853,0.000318,0.009502,0.016216,0.019062,0.01483,0.014907,0.013581,0.010928,0.013708,0.01087,0.008364,0.011018,0.009706,0.006869,0.005646,0.002401,0.001117,0.000826,0.765988,0.012624,0.097253,0.384444,0.008341,0.255464,0.007168,0.008009,0.00867,0.014696,0.017095,0.00134,0.000664,0.952688,0.095
"Cherokee, AL",0.005994,0.531172,0.004841,0.004692,0.012581,0.036685,0.006227,0.008364,0.001096,0.000399,0.000584,0.075269,0.011673,0.005883,0.005713,0.006836,0.005267,0.003914,0.002948,0.002923,0.001291,0,0.002779,0.000316,0.005626,0.293532,0.000527,0,0.001189,0.00206,0.000404,0.325196,0.005582,0.005208,0.004617,0.007111,0.007448,0.223776,0.000189,0.007576,0.010954,0.012786,0.008288,0.009709,0.00844,0.007303,0.007211,0.010959,0.0085,0.008252,0.00717,0.008108,0.004314,0.002046,0.003195,0.001327,0.728783,0.008092,0.177214,0.333333,0.006331,0.26015,0.005855,0.006303,0.006358,0.017686,0.001558,0.002621,0.000213,0.710753,0.249
