"UNITED STATES",307006550,37.2,74181467,112806642,39570590,1892,301461533,97940,7607115,604610,101943281,21679,17312,712977,308934,1076645,210088,135726,488909,351047,842566,88777,799271,61178717,153889000,9.6,1355301,16056,2158017,6350264,940297,48900,49176431,1550986,2162858,102760730,106381609,17.1,50477594,77538296,8329488,6305311,6024160,6147899,6024956,5960273,5601938,5501951,4960432,9385944,11667169,13853787,8639394,4939327,4724616,4544384,14966,9555026,50221,14.3,308745538,27323632,87.4,151781326,156964212,196817552,38929319,2932248,14674252
"ALABAMA",4708708,37.9,1132459,1707598,651049,2292,4633360,1578,82060,11261,1546980,830,426,8863,4597,18649,2949,1590,7195,4222,9442,824,10311,332559,2127211,9.5,19764,336,47238,118629,12728,41148,745668,19380,26526,1574267,1699471,14.6,185602,1276440,193469,134988,125046,120178,110437,105216,97549,91415,79708,149589,170463,191272,108519,55565,46035,39992,14116,196092,40547,17.5,4779736,332636,94.4,2320188,2459548,3204402,1251311,28218,53595
"DeKalb, AL",69380,37.5,18366,24527,9903,3462,68183,26,773,32,4228,5,1,85,121,248,34,14,82,31,77,9,116,1770,29270,11.6,122,2,335,876,105,30301,11929,177,157,24423,25407,17.6,9690,19361,2736,2313,2262,2143,1942,1503,1293,1466,1470,1821,2276,1946,830,322,286,390,13141,2850,33919,21.7,71109,6657,91.5,35113,35996,57997,1078,969,203
"St. Clair, AL",81895,38.6,19826,29770,10670,3526,77585,24,782,111,12937,9,10,189,71,211,36,12,72,39,85,3,92,452,35916,9.3,163,2,376,1241,117,31310,12510,72,263,28356,28827,16.3,1716,23364,1930,1911,1397,1408,1433,1702,1394,1347,956,2783,3074,3411,1780,740,768,321,14969,2338,45601,13.8,83593,18851,132.3,41904,41689,72947,7150,281,518
"ALASKA",698473,33.8,187378,270980,52849,391,683142,133,8907,904,204679,348,89,2487,528,2547,1111,396,809,837,1912,253,2156,84825,361331,8,4434,27,3188,14991,1610,50830,130662,3738,5024,243040,216790,19.4,39249,170750,9983,9008,8340,9918,10358,10268,9829,10628,10393,19589,26588,35969,25090,15090,14169,9559,13902,19242,66712,9.1,710231,83299,1.2,369628,340603,455320,23263,104871,38135
"Aleutians East, AK",2744,42.1,371,1409,91,0,2959,0,0,0,0,4,4,0,5,10,3,1,1,2,1,0,9,0,1068,8.5,0,0,0,0,0,27498,275,4,12,1700,737,33,385,363,5,10,26,12,23,13,15,33,23,25,58,42,25,18,22,5,15579,10,50444,13.9,3141,444,0.4,2093,1048,425,219,876,1130
"Aleutians West, AK",4659,40.7,815,2535,147,63,5505,1,22,8,1196,4,2,2,12,13,22,2,2,5,3,1,16,0,2910,6.5,16,0,12,54,3,44276,519,9,17,3634,1131,28.1,726,711,32,10,8,5,15,21,10,21,24,45,109,109,44,54,40,16,9740,12,58174,9.1,5561,96,1.3,3723,1838,1745,332,857,1606
"Anchorage, AK",286174,32.9,75786,117304,20522,3536,280389,36,4340,480,116574,25,8,985,172,898,345,176,413,365,1129,110,1058,42482,154432,6.9,3422,19,2378,10052,1171,57193,49122,1874,2335,96502,91216,17.9,22061,70544,3362,3375,2926,3813,4492,4013,3947,4837,4608,8394,11740,16527,11424,7075,7468,5601,14280,6661,72210,7.6,291826,31543,171.2,148209,143617,182814,16226,23130,23580
"Bethel, AK",17352,26.2,6218,6091,985,0,17151,2,90,10,2145,0,12,16,2,54,27,6,5,7,6,7,11,222,7061,15,50,0,45,33,16,37310,4791,50,82,5621,4924,17.8,181,3436,267,197,255,201,194,232,247,204,161,362,379,622,301,202,175,179,10028,1163,41810,20.7,17013,1007,0.4,8898,8115,1854,65,14109,160
"Bristol Bay, AK",881,42.8,225,305,67,0,682,1,17,1,250,1,1,4,7,9,12,1,1,2,3,0,2,0,1052,3.9,0,0,18,17,17,44700,566,0,3,210,215,24.6,24,249,6,21,7,12,13,1,14,5,17,36,21,41,38,23,19,0,13663,9,64418,7.8,997,-261,2,540,457,476,0,334,8
"Denali, AK",1851,41.5,411,582,124,0,1529,0,0,0,0,0,1,6,0,11,11,2,1,0,2,2,3,994,1382,9.3,0,0,0,0,0,48965,425,0,28,741,422,22.2,42,454,12,15,20,16,6,28,33,23,16,27,56,152,34,51,20,12,17005,26,62615,4.8,1826,-67,0.1,1002,824,1614,10,65,19
"Dillingham, AK",4957,29,1595,1632,395,0,4946,1,71,0,0,2,2,8,6,17,15,2,2,5,4,0,6,0,2107,10.1,47,0,9,30,20,32671,1138,37,35,1579,1417,22.1,101,1077,78,70,45,66,22,44,103,84,74,126,174,176,168,44,113,56,13821,210,46580,18.5,4847,-75,0.3,2541,2306,855,11,3470,32
"Fairbanks North Star, AK",98660,31,25001,41784,6170,777,96843,23,1092,42,8443,3,5,362,65,315,108,36,103,144,242,33,269,7915,46563,7.1,290,3,163,1129,145,51586,15741,714,799,34250,28830,18.9,5651,23726,1546,1170,1052,1285,1411,1354,1464,1403,1296,2715,3860,5019,3832,2096,1664,1044,14373,1412,64691,7.9,97581,14741,13.3,51531,46050,72259,4423,6879,2591
